template_id,question,sql_query
SQL_001,Who recorded the highest-scoring game by any player in the playoffs?,SELECT PLAYER_NAME FROM boxscores ORDER BY PTS DESC LIMIT 1;
SQL_001,Which player dropped the most points in a single playoff game?,SELECT PLAYER_NAME FROM boxscores ORDER BY PTS DESC LIMIT 1;
SQL_001,"Across everyone, who owns the top single-game scoring performance of the postseason?",SELECT PLAYER_NAME FROM boxscores ORDER BY PTS DESC LIMIT 1;
SQL_001,Who put up the biggest point total in one playoff game?,SELECT PLAYER_NAME FROM boxscores ORDER BY PTS DESC LIMIT 1;
SQL_001,Which player had the highest point total in a playoff game?,SELECT PLAYER_NAME FROM boxscores ORDER BY PTS DESC LIMIT 1;
SQL_001,Whose single-game scoring outburst was the largest this postseason?,SELECT PLAYER_NAME FROM boxscores ORDER BY PTS DESC LIMIT 1;
SQL_001,Name the player with the most points in any one playoff game.,SELECT PLAYER_NAME FROM boxscores ORDER BY PTS DESC LIMIT 1;
SQL_001,Who lit it up for the most points in a single playoff outing?,SELECT PLAYER_NAME FROM boxscores ORDER BY PTS DESC LIMIT 1;
SQL_002,Which Celtics player had the lowest-scoring game in the playoffs?,SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS ASC LIMIT 1;
SQL_002,Who scored the fewest points in a playoff game for Boston?,SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS ASC LIMIT 1;
SQL_002,"Among the Celtics, who posted the smallest single-game point total this postseason?",SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS ASC LIMIT 1;
SQL_002,Which Boston player came up shortest on the scoreboard in a playoff game?,SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS ASC LIMIT 1;
SQL_002,Who had the fewest points in a single playoff game for the Celtics?,SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS ASC LIMIT 1;
SQL_002,Which Boston player recorded their quietest scoring night of the playoffs?,SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS ASC LIMIT 1;
SQL_002,Name the Boston player with the lowest point total in a playoff game.,SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS ASC LIMIT 1;
